case_id,variant,available_backend_count,success_backend_count,failed_backend_count,best_energy,mean_energy,range_energy,success_backends,failed_backends,delta_vs_full_best
001,full,3,3,0,-4.980229139328003,-4.82218877474467,0.237060546875,"gpt54,claude,gemini",,0.0
001,no_slip,3,3,0,-4.980229139328003,-4.821720838546753,0.238494873046875,"gpt54,claude,gemini",,0.0
001,no_forbid,3,3,0,-4.980229139328003,-4.82218877474467,0.237060546875,"gpt54,claude,gemini",,0.0
001,no_termination,3,3,0,-4.980229139328003,-4.82218877474467,0.237060546875,"gpt54,claude,gemini",,0.0
001,single_shot,3,3,0,-4.743199110031128,-4.743178764979045,3.0517578125e-05,"gpt54,claude,gemini",,0.237030029296875
002,full,3,3,0,-7.2280120849609375,-7.2280120849609375,0.0,"gpt54,claude,gemini",,0.0
002,no_slip,3,3,0,-7.2280120849609375,-7.2280120849609375,0.0,"gpt54,claude,gemini",,0.0
002,no_forbid,3,3,0,-7.2280120849609375,-7.2280120849609375,0.0,"gpt54,claude,gemini",,0.0
002,no_termination,3,3,0,-7.2280120849609375,-7.2280120849609375,0.0,"gpt54,claude,gemini",,0.0
002,single_shot,1,1,2,-6.576652526855469,-6.576652526855469,,claude,"gpt54,gemini",0.6513595581054688
003,full,3,3,0,-11.669610977172852,-11.659723281860352,0.01483154296875,"gpt54,claude,gemini",,0.0
003,no_slip,3,3,0,-11.654779434204102,-11.654779434204102,0.0,"gpt54,claude,gemini",,0.01483154296875
003,no_forbid,3,3,0,-11.654779434204102,-11.654779434204102,0.0,"gpt54,claude,gemini",,0.01483154296875
003,no_termination,3,3,0,-11.654779434204102,-11.654759089152018,6.103515625e-05,"gpt54,claude,gemini",,0.01483154296875
003,single_shot,3,3,0,-11.657953262329102,-10.09875233968099,4.674428939819336,"gpt54,claude,gemini",,0.01165771484375
004,full,3,3,0,-11.384456634521484,-10.968878428141275,1.246734619140625,"gpt54,claude,gemini",,0.0
004,no_slip,3,3,0,-11.384395599365234,-10.96883773803711,1.246673583984375,"gpt54,claude,gemini",,6.103515625e-05
004,no_forbid,3,3,0,-11.384395599365234,-10.63955307006836,1.246673583984375,"gpt54,claude,gemini",,6.103515625e-05
004,no_termination,3,3,0,-11.384395599365234,-10.96883773803711,1.246673583984375,"gpt54,claude,gemini",,6.103515625e-05
004,single_shot,3,3,0,-10.13772201538086,-9.254645029703775,1.324615478515625,"gpt54,claude,gemini",,1.246734619140625
005,full,3,3,0,-10.643351554870605,-10.643351554870605,0.0,"gpt54,claude,gemini",,0.0
005,no_slip,3,3,0,-10.643351554870605,-10.643351554870605,0.0,"gpt54,claude,gemini",,0.0
005,no_forbid,3,3,0,-10.643351554870605,-10.643351554870605,0.0,"gpt54,claude,gemini",,0.0
005,no_termination,3,3,0,-10.643351554870605,-10.631205558776855,0.03643798828125,"gpt54,claude,gemini",,0.0
005,single_shot,3,3,0,-10.643351554870605,-10.28765900929769,0.63226318359375,"gpt54,claude,gemini",,0.0
006,full,3,3,0,-7.403881072998047,-7.403881072998047,0.0,"gpt54,claude,gemini",,0.0
006,no_slip,3,3,0,-7.403942108154297,-7.40390141805013,6.103515625e-05,"gpt54,claude,gemini",,-6.103515625e-05
006,no_forbid,3,3,0,-7.403881072998047,-7.403881072998047,0.0,"gpt54,claude,gemini",,0.0
006,no_termination,3,3,0,-7.403881072998047,-7.403881072998047,0.0,"gpt54,claude,gemini",,0.0
006,single_shot,3,3,0,-7.403881072998047,-7.403881072998047,0.0,"gpt54,claude,gemini",,0.0
007,full,3,3,0,-10.732337951660156,-10.72607167561849,0.018798828125,"gpt54,claude,gemini",,0.0
007,no_slip,3,3,0,-10.732337951660156,-10.719011942545572,0.0213623046875,"gpt54,claude,gemini",,0.0
007,no_forbid,3,3,0,-10.732337951660156,-10.718950907389322,0.0213623046875,"gpt54,claude,gemini",,0.0
007,no_termination,3,3,0,-10.713600158691406,-10.71178944905599,0.0028076171875,"gpt54,claude,gemini",,0.01873779296875
007,single_shot,3,3,0,-10.710975646972656,-10.710975646972656,0.0,"gpt54,claude,gemini",,0.0213623046875
008,full,3,3,0,-4.346961975097656,-4.346961975097656,0.0,"gpt54,claude,gemini",,0.0
008,no_slip,3,3,0,-4.346961975097656,-4.346961975097656,0.0,"gpt54,claude,gemini",,0.0
008,no_forbid,3,3,0,-4.346961975097656,-4.346961975097656,0.0,"gpt54,claude,gemini",,0.0
008,no_termination,2,2,1,-4.346961975097656,-4.346961975097656,0.0,"claude,gemini",gpt54,0.0
008,single_shot,3,3,0,-4.346961975097656,-4.346961975097656,0.0,"gpt54,claude,gemini",,0.0
009,full,3,3,0,-8.870079040527344,-8.569193522135416,0.9026565551757812,"gpt54,claude,gemini",,0.0
009,no_slip,3,3,0,-8.408592224121094,-7.689186096191406,1.7170486450195312,"gpt54,claude,gemini",,0.46148681640625
009,no_forbid,3,3,0,-8.992385864257812,-8.164494832356771,1.3721923828125,"gpt54,claude,gemini",,-0.12230682373046875
009,no_termination,3,3,0,-8.408592224121094,-8.26153564453125,0.44116973876953125,"gpt54,claude,gemini",,0.46148681640625
009,single_shot,0,0,3,,,,,"gpt54,claude,gemini",
010,full,3,3,0,-7.707094192504883,-7.707094192504883,0.0,"gpt54,claude,gemini",,0.0
010,no_slip,3,3,0,-7.707033157348633,-7.707033157348633,0.0,"gpt54,claude,gemini",,6.103515625e-05
010,no_forbid,3,3,0,-7.707094192504883,-7.7070738474528,6.103515625e-05,"gpt54,claude,gemini",,0.0
010,no_termination,3,3,0,-7.707094192504883,-7.7070738474528,6.103515625e-05,"gpt54,claude,gemini",,0.0
010,single_shot,3,3,0,-7.707094192504883,-7.7070738474528,6.103515625e-05,"gpt54,claude,gemini",,0.0
011,full,3,3,0,-4.284637451171875,-4.045796712239583,0.716461181640625,"gpt54,claude,gemini",,0.0
011,no_slip,3,3,0,-4.284698486328125,-4.24395751953125,0.1219482421875,"gpt54,claude,gemini",,-6.103515625e-05
011,no_forbid,3,3,0,-4.284576416015625,-3.9751688639322915,0.92803955078125,"gpt54,claude,gemini",,6.103515625e-05
011,no_termination,3,3,0,-4.284576416015625,-3.9751078287760415,0.92803955078125,"gpt54,claude,gemini",,6.103515625e-05
011,single_shot,0,0,3,,,,,"gpt54,claude,gemini",
012,full,3,3,0,-2.768667221069336,-2.753591537475586,0.022613525390625,"gpt54,claude,gemini",,0.0
012,no_slip,3,3,0,-2.6935501098632812,-2.6934992472330728,0.000152587890625,"gpt54,claude,gemini",,0.07511711120605469
012,no_forbid,3,3,0,-2.746053695678711,-2.746053695678711,0.0,"gpt54,claude,gemini",,0.022613525390625
012,no_termination,3,3,0,-2.746053695678711,-2.728552500406901,0.05250358581542969,"gpt54,claude,gemini",,0.022613525390625
012,single_shot,3,3,0,-2.3598690032958984,-2.301987330118815,0.086822509765625,"gpt54,claude,gemini",,0.4087982177734375
013,full,3,3,0,-10.361473083496094,-10.014177958170572,1.0418853759765625,"gpt54,claude,gemini",,0.0
013,no_slip,3,3,0,-10.361473083496094,-10.096387227376303,0.6918487548828125,"gpt54,claude,gemini",,0.0
013,no_forbid,3,3,0,-10.361473083496094,-9.933453877766928,1.2840576171875,"gpt54,claude,gemini",,0.0
013,no_termination,3,3,0,-10.361473083496094,-10.13183339436849,0.6888580322265625,"gpt54,claude,gemini",,0.0
013,single_shot,3,3,0,-9.077415466308594,-9.047650655110678,0.08929443359375,"gpt54,claude,gemini",,1.2840576171875
014,full,3,3,0,-5.222894668579102,-5.217887242635091,0.01500701904296875,"gpt54,claude,gemini",,0.0
014,no_slip,3,3,0,-5.222894668579102,-5.217892328898112,0.01500701904296875,"gpt54,claude,gemini",,0.0
014,no_forbid,3,3,0,-5.222879409790039,-5.21787707010905,0.01499176025390625,"gpt54,claude,gemini",,1.52587890625e-05
014,no_termination,3,3,0,-5.222879409790039,-5.222869237263997,3.0517578125e-05,"gpt54,claude,gemini",,1.52587890625e-05
014,single_shot,3,3,0,-5.207887649536133,-5.207882563273112,1.52587890625e-05,"gpt54,claude,gemini",,0.01500701904296875
015,full,3,3,0,-1.5510482788085938,-1.4390347798665364,0.19957733154296875,"gpt54,claude,gemini",,0.0
015,no_slip,3,3,0,-1.5704517364501953,-1.5596605936686199,0.03237342834472656,"gpt54,claude,gemini",,-0.019403457641601562
015,no_forbid,3,3,0,-1.5704517364501953,-1.4257946014404297,0.2189807891845703,"gpt54,claude,gemini",,-0.019403457641601562
015,no_termination,3,3,0,-1.5585556030273438,-1.5086428324381511,0.14397048950195312,"gpt54,claude,gemini",,-0.00750732421875
015,single_shot,3,3,0,-1.5704212188720703,-1.4244543711344402,0.2189502716064453,"gpt54,claude,gemini",,-0.019372940063476562
016,full,3,3,0,-12.998725891113281,-12.998705546061197,3.0517578125e-05,"gpt54,claude,gemini",,0.0
016,no_slip,3,3,0,-12.998695373535156,-12.998695373535156,0.0,"gpt54,claude,gemini",,3.0517578125e-05
016,no_forbid,3,3,0,-12.998725891113281,-12.998705546061197,3.0517578125e-05,"gpt54,claude,gemini",,0.0
016,no_termination,3,3,0,-12.998695373535156,-12.998695373535156,0.0,"gpt54,claude,gemini",,3.0517578125e-05
016,single_shot,3,3,0,-12.920936584472656,-12.918546040852865,0.007171630859375,"gpt54,claude,gemini",,0.077789306640625
017,full,3,3,0,-5.363460540771484,-5.363134384155273,0.0008563995361328125,"gpt54,claude,gemini",,0.0
017,no_slip,3,3,0,-5.363460540771484,-5.363460540771484,0.0,"gpt54,claude,gemini",,0.0
017,no_forbid,3,3,0,-5.363460540771484,-5.363450368245442,3.0517578125e-05,"gpt54,claude,gemini",,0.0
017,no_termination,3,3,0,-5.363246917724609,-5.3628184000651045,0.0006427764892578125,"gpt54,claude,gemini",,0.000213623046875
017,single_shot,2,2,1,-5.362634658813477,-5.362619400024414,3.0517578125e-05,"claude,gemini",gpt54,0.0008258819580078125
018,full,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
018,no_slip,3,3,0,-7.120536804199219,-7.034660339355469,0.128814697265625,"gpt54,claude,gemini",,-0.128814697265625
018,no_forbid,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
018,no_termination,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
018,single_shot,3,3,0,-6.991722106933594,-6.991722106933594,0.0,"gpt54,claude,gemini",,0.0
019,full,3,3,0,-3.5041396617889404,-3.5041396617889404,0.0,"gpt54,claude,gemini",,0.0
019,no_slip,3,3,0,-3.5041396617889404,-3.3934218883514404,0.16607666015625,"gpt54,claude,gemini",,0.0
019,no_forbid,3,3,0,-3.5041396617889404,-3.4487807750701904,0.16607666015625,"gpt54,claude,gemini",,0.0
019,no_termination,3,3,0,-3.5041396617889404,-3.4487807750701904,0.16607666015625,"gpt54,claude,gemini",,0.0
019,single_shot,3,3,0,-3.5041396617889404,-3.3543593883514404,0.247467041015625,"gpt54,claude,gemini",,0.0
020,full,3,3,0,-6.2419586181640625,-6.220059712727864,0.06569671630859375,"gpt54,claude,gemini",,0.0
020,no_slip,3,3,0,-6.2419586181640625,-6.2347564697265625,0.0108642578125,"gpt54,claude,gemini",,0.0
020,no_forbid,3,3,0,-6.2400054931640625,-6.197509765625,0.06374359130859375,"gpt54,claude,gemini",,0.001953125
020,no_termination,3,3,0,-6.2419586181640625,-6.2165171305338545,0.065460205078125,"gpt54,claude,gemini",,0.0
020,single_shot,3,3,0,-6.176261901855469,-6.152781168619792,0.07044219970703125,"gpt54,claude,gemini",,0.06569671630859375
021,full,3,3,0,-3.6048831939697266,-3.6038691202799478,0.0030422210693359375,"gpt54,claude,gemini",,0.0
021,no_slip,3,3,0,-3.6048831939697266,-3.5723883310953775,0.09444236755371094,"gpt54,claude,gemini",,0.0
021,no_forbid,3,3,0,-3.6018409729003906,-3.540917714436849,0.091400146484375,"gpt54,claude,gemini",,0.0030422210693359375
021,no_termination,3,3,0,-3.6048831939697266,-3.6028550465901694,0.0030422210693359375,"gpt54,claude,gemini",,0.0
021,single_shot,3,3,0,-3.4414615631103516,-3.4166539510091147,0.07442283630371094,"gpt54,claude,gemini",,0.163421630859375
022,full,3,3,0,-3.3845252990722656,-3.3715502421061196,0.03891754150390625,"gpt54,claude,gemini",,0.0
022,no_slip,3,3,0,-3.3845176696777344,-3.3845176696777344,0.0,"gpt54,claude,gemini",,7.62939453125e-06
022,no_forbid,3,3,0,-3.3845176696777344,-3.3585726420084634,0.03891754150390625,"gpt54,claude,gemini",,7.62939453125e-06
022,no_termination,3,3,0,-3.3845176696777344,-3.3585802714029946,0.038909912109375,"gpt54,claude,gemini",,7.62939453125e-06
022,single_shot,1,1,2,-2.735790252685547,-2.735790252685547,,claude,"gpt54,gemini",0.6487350463867188
023,full,3,3,0,-14.549540519714355,-14.549540519714355,0.0,"gpt54,claude,gemini",,0.0
023,no_slip,3,3,0,-14.549540519714355,-14.451701164245605,0.29351806640625,"gpt54,claude,gemini",,0.0
023,no_forbid,3,3,0,-14.549540519714355,-14.549540519714355,0.0,"gpt54,claude,gemini",,0.0
023,no_termination,3,3,0,-14.549540519714355,-14.549540519714355,0.0,"gpt54,claude,gemini",,0.0
023,single_shot,3,3,0,-14.256022453308105,-14.025492668151855,0.69158935546875,"gpt54,claude,gemini",,0.29351806640625
024,full,3,3,0,-3.715871810913086,-3.6164557139078775,0.298248291015625,"gpt54,claude,gemini",,0.0
024,no_slip,3,3,0,-3.715871810913086,-3.715871810913086,0.0,"gpt54,claude,gemini",,0.0
024,no_forbid,3,3,0,-3.715871810913086,-3.715871810913086,0.0,"gpt54,claude,gemini",,0.0
024,no_termination,3,3,0,-3.715871810913086,-3.715871810913086,0.0,"gpt54,claude,gemini",,0.0
024,single_shot,3,3,0,-3.376506805419922,-3.376506805419922,0.0,"gpt54,claude,gemini",,0.33936500549316406
