dataset,backend,variant,case_id,source,class_,best_energy_eV
OCD24,Grok-4,no_forbid,008,extra14,invalid_energy,-398501376.7336807
OCD24,Grok-4,single_shot,009,extra14,external_failure,
OCD24,Grok-4,single_shot,010,extra14,external_failure,
OCD24,Grok-4,single_shot,011,extra14,external_failure,
OCD24,Grok-4,single_shot,014,extra14,external_failure,
OCD24,Grok-4,single_shot,017,extra14,external_failure,
OCD24,Grok-4,single_shot,018,extra14,external_failure,
OCD24,Grok-4,single_shot,020,extra14,external_failure,
OCD24,Grok-4,single_shot,021,extra14,external_failure,
OCD24,Grok-4,single_shot,022,extra14,external_failure,
OCD24,Grok-4,full,008,rerun-fallback,invalid_energy,-1124687200.7336826
OCD24,Grok-4,no_forbid,008,rerun-fallback,invalid_energy,-45282420.73368263
OCD24,Grok-4,no_termination,002,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,006,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,007,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,008,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,009,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,010,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,011,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,014,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,017,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,018,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,020,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,021,rerun-fallback,external_failure,
OCD24,Grok-4,no_termination,022,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,001,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,002,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,006,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,007,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,008,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,009,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,010,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,011,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,014,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,018,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,020,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,021,rerun-fallback,external_failure,
OCD24,Grok-4,single_shot,022,rerun-fallback,external_failure,
rep50-full,Grok-4,full,039,rerun,external_failure,
rep50-full,Grok-4,full,040,rerun,external_failure,
rep50-full,Grok-4,full,041,rerun,external_failure,
rep50-full,Grok-4,full,042,rerun,external_failure,
rep50-full,Grok-4,full,043,rerun,external_failure,
rep50-full,Grok-4,full,044,rerun,external_failure,
rep50-full,Grok-4,full,045,rerun,external_failure,
rep50-full,Grok-4,full,046,rerun,external_failure,
rep50-full,Grok-4,full,047,rerun,external_failure,
rep50-full,Grok-4,full,048,rerun,external_failure,
rep50-full,Grok-4,full,049,rerun,external_failure,
rep50-full,Grok-4,full,050,rerun,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,008,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,010,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,011,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,012,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,013,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,014,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,015,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,017,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,018,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,021,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,022,original,external_failure,
rep50-mechanism,Claude Sonnet 4.6,no_slip,023,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,017,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,018,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,019,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,020,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,021,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,022,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,023,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,025,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,026,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,027,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,028,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,029,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,030,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,031,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,032,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,033,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,034,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,035,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,036,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,037,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,038,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,039,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,040,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,041,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,042,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,043,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,044,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,045,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,046,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,047,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,048,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,049,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_forbid,050,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,001,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,002,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,003,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,004,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,005,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,006,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,007,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,008,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,009,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,010,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,011,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,012,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,013,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,014,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,015,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,016,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,017,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,018,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,019,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,020,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,021,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,022,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,023,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,024,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,025,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,026,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,027,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,028,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,029,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,030,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,031,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,032,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,033,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,034,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,035,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,036,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,037,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,038,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,039,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,040,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,041,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,042,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,043,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,044,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,045,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,046,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,047,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,048,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,049,original,external_failure,
rep50-mechanism,Gemini 2.5 Pro,no_termination,050,original,external_failure,
rep50-mechanism,Grok-4,no_forbid,001,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,002,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,003,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,004,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,005,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,006,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,007,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,008,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,009,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,010,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,011,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,012,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,013,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,014,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,015,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,016,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,017,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,018,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,019,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,020,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,021,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,022,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,023,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,024,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,025,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,026,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,027,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,028,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,029,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,030,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,031,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,032,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,033,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,034,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,035,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,036,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,037,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,038,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,039,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,040,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,041,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,042,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,043,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,044,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,045,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,046,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,047,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,048,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,049,rerun,external_failure,
rep50-mechanism,Grok-4,no_forbid,050,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,023,rerun,invalid_energy,-3015165152.7336826
rep50-mechanism,Grok-4,no_slip,041,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,042,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,043,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,044,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,045,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,046,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,047,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,048,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,049,rerun,external_failure,
rep50-mechanism,Grok-4,no_slip,050,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,001,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,002,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,003,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,004,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,005,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,006,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,007,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,008,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,009,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,010,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,011,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,012,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,013,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,014,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,015,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,016,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,017,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,018,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,019,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,020,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,021,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,022,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,023,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,024,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,025,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,026,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,027,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,028,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,029,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,030,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,031,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,032,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,033,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,034,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,035,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,036,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,037,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,038,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,039,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,040,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,041,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,042,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,043,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,044,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,045,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,046,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,047,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,048,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,049,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,050,rerun,external_failure,
rep50-mechanism,Grok-4,no_termination,021,targeted-mechanism-recovery,external_failure,
rep50-mechanism,Grok-4,no_termination,022,targeted-mechanism-recovery,external_failure,
