benchmark_id,case_id,surface,adsorbate,adsmind_1shot_energy,adsmind_1shot_energy_best4,adsmind_1shot_energy_mean4,adsmind_1shot_best4,adsmind_1shot_mean4,adsmind_1shot_relax,adsmind_1shot_success,adsmind_full_energy,adsmind_full_energy_best4,adsmind_full_energy_mean4,adsmind_full_best4,adsmind_full_mean4,adsmind_full_relax,adsmind_full_success,random_n20_energy,random_n20_relax,random_n20_success,heuristic_energy,heuristic_relax,heuristic_success,adsorbagent_energy,adsorbagent_relax,adsorbagent_success,adsmind_1shot_openai_gpt54_mace_mp0_small_energy,adsmind_1shot_openai_gpt54_mace_mp0_small_relax,adsmind_1shot_openai_gpt54_mace_mp0_small_success,adsmind_1shot_anthropic_claude_sonnet46_mace_mp0_small_energy,adsmind_1shot_anthropic_claude_sonnet46_mace_mp0_small_relax,adsmind_1shot_anthropic_claude_sonnet46_mace_mp0_small_success,adsmind_1shot_google_vertexai_gemini25pro_mace_mp0_small_energy,adsmind_1shot_google_vertexai_gemini25pro_mace_mp0_small_relax,adsmind_1shot_google_vertexai_gemini25pro_mace_mp0_small_success,adsmind_1shot_xai_grok4_0709_mace_mp0_small_energy,adsmind_1shot_xai_grok4_0709_mace_mp0_small_relax,adsmind_1shot_xai_grok4_0709_mace_mp0_small_success,adsmind_1shot_success_any4,adsmind_1shot_success_all4,adsmind_full_openai_gpt54_mace_mp0_small_energy,adsmind_full_openai_gpt54_mace_mp0_small_relax,adsmind_full_openai_gpt54_mace_mp0_small_success,adsmind_full_anthropic_claude_sonnet46_mace_mp0_small_energy,adsmind_full_anthropic_claude_sonnet46_mace_mp0_small_relax,adsmind_full_anthropic_claude_sonnet46_mace_mp0_small_success,adsmind_full_google_vertexai_gemini25pro_mace_mp0_small_energy,adsmind_full_google_vertexai_gemini25pro_mace_mp0_small_relax,adsmind_full_google_vertexai_gemini25pro_mace_mp0_small_success,adsmind_full_xai_grok4_0709_mace_mp0_small_energy,adsmind_full_xai_grok4_0709_mace_mp0_small_relax,adsmind_full_xai_grok4_0709_mace_mp0_small_success,adsmind_full_success_any4,adsmind_full_success_all4
01,01,Mo3Pd,H,-3.594212055206299,-3.6311686038970943,-3.594212055206299,-3.6311686038970943,-3.594212055206299,1.0,1.0,-3.630222797393799,-3.6317179203033447,-3.630222797393799,-3.6317179203033447,-3.630222797393799,4.5,1.0,-3.631718397140503,20.0,1.0,-3.637272596359253,69,1.0,-3.879215955734253,29.0,1.0,-3.557255506515503,1,True,-3.557255506515503,1,True,-3.6311686038970943,1,True,-3.6311686038970943,1,True,True,True,-3.627323865890503,4,True,-3.630131483078003,4,True,-3.6317179203033447,5,True,-3.6317179203033447,5,True,True,True
02,02,Mo3Pd,NNH,-4.400544166564941,-4.765958786010742,-4.400544166564941,-4.765958786010742,-4.400544166564941,1.0,1.0,-4.767498970031738,-4.769039154052734,-4.767498970031738,-4.769039154052734,-4.767498970031738,4.75,1.0,-4.761686325073242,20.0,1.0,-4.776639938354492,69,1.0,-5.097377777099609,2.0,1.0,-4.342861175537109,1,True,-4.342861175537109,1,True,-4.765958786010742,1,True,-4.150495529174805,1,True,True,True,-4.769039154052734,5,True,-4.769039154052734,5,True,-4.765958786010742,4,True,-4.765958786010742,5,True,True,True
03,03,Pd3Cu,H,-3.344036817550659,-3.351963758468628,-3.344036817550659,-3.351963758468628,-3.344036817550659,1.0,1.0,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,-3.351963758468628,3.5,1.0,-3.323246717453003,20.0,1.0,-3.349552869796753,56,1.0,,,0.0,-3.351963758468628,1,True,-3.351963758468628,1,True,-3.351963758468628,1,True,-3.320255994796753,1,True,True,True,-3.351963758468628,2,True,-3.351963758468628,2,True,-3.351963758468628,5,True,-3.351963758468628,5,True,True,True
04,04,Pd3Cu,NNH,-1.850956916809082,-2.2427330017089844,-1.850956916809082,-2.2427330017089844,-1.850956916809082,1.0,1.0,-2.2137489318847656,-2.2848472595214844,-2.2137489318847656,-2.2848472595214844,-2.2137489318847656,4.75,1.0,-3.293546676635742,20.0,1.0,-3.470273971557617,56,1.0,-2.9148216247558594,34.0,1.0,-2.2427330017089844,1,True,-1.8452110290527344,1,True,-1.657941818237305,1,True,-1.657941818237305,1,True,True,True,-2.2549095153808594,4,True,-2.2848472595214844,5,True,-2.0603294372558594,5,True,-2.2549095153808594,5,True,True,True
05,05,Cu3Ag,H,-2.924522876739502,-2.961643934249878,-2.924522876739502,-2.961643934249878,-2.924522876739502,1.0,1.0,-2.9616401195526123,-2.961643934249878,-2.9616401195526123,-2.961643934249878,-2.9616401195526123,4.25,1.0,-2.965336561203003,20.0,1.0,-2.966923475265503,59,1.0,,,0.0,-2.842610120773315,1,True,-2.961643934249878,1,True,-2.9469187259674072,1,True,-2.9469187259674072,1,True,True,True,-2.961643934249878,4,True,-2.961643934249878,3,True,-2.961643934249878,5,True,-2.961628675460815,5,True,True,True
06,06,Cu3Ag,NNH,,,,,,1.0,0.0,-2.0196075439453125,-2.16463851928711,-2.0196075439453125,-2.16463851928711,-2.0196075439453125,5.0,1.0,-2.678739547729492,20.0,1.0,-2.167753219604492,59,1.0,-2.243450164794922,23.0,1.0,,1,False,,1,False,,1,False,,1,False,False,False,-2.164623260498047,5,True,-1.8745841979980469,5,True,-2.16463851928711,5,True,-1.8745841979980469,5,True,True,True
07,07,Ru3Mo,H,-6.790135145187378,-6.883122205734253,-6.790135145187378,-6.883122205734253,-6.790135145187378,1.0,1.0,-7.045994520187378,-7.051090955734253,-7.045994520187378,-7.051090955734253,-7.045994520187378,4.75,1.0,-7.041508436203003,20.0,1.0,-7.051396131515503,84,1.0,-6.726322889328003,17.0,1.0,-6.511173963546753,1,True,-6.883122205734253,1,True,-6.883122205734253,1,True,-6.883122205734253,1,True,True,True,-7.030705213546753,5,True,-7.051090955734253,4,True,-7.051090955734253,5,True,-7.051090955734253,5,True,True,True
08,08,Ru3Mo,NNH,-6.414363861083984,-6.414363861083984,-6.414363861083984,-6.414363861083984,-6.414363861083984,1.0,0.25,-6.722194671630859,-7.190608978271484,-6.722194671630859,-7.190608978271484,-6.722194671630859,4.75,1.0,-7.188383102416992,20.0,1.0,-9.209440231323242,84,1.0,-7.142055511474609,24.0,1.0,,1,False,,1,False,-6.414363861083984,1,True,,1,False,True,False,-7.190608978271484,5,True,-6.869441986083984,5,True,-6.414363861083984,5,True,-6.414363861083984,4,True,True,True
09,09,Pt,OH,-1.8925771713256836,-1.9912567138671875,-1.8925771713256836,-1.9912567138671875,-1.8925771713256836,1.0,1.0,-1.9825944900512695,-1.9912567138671875,-1.9825944900512695,-1.9912567138671875,-1.9825944900512695,3.0,1.0,-1.9895267486572263,20.0,1.0,-1.9934635162353516,46,1.0,-1.997150421142578,25.0,1.0,-1.9912567138671875,1,True,-1.8037338256835935,1,True,-1.8013858795166016,1,True,-1.9739322662353516,1,True,True,True,-1.9912567138671875,3,True,-1.9912567138671875,3,True,-1.9739322662353516,3,True,-1.9739322662353516,3,True,True,True
10,10,Pt,OH,-2.5654096603393555,-2.7176666259765625,-2.5654096603393555,-2.7176666259765625,-2.5654096603393555,1.0,1.0,-2.7156314849853516,-2.7176666259765625,-2.7156314849853516,-2.7176666259765625,-2.7156314849853516,3.5,1.0,-2.7149600982666016,20.0,1.0,-2.7206058502197266,25,1.0,-2.7414588928222656,22.0,1.0,-2.7176666259765625,1,True,-2.7095260620117188,1,True,-2.1220951080322266,1,True,-2.712350845336914,1,True,True,True,-2.7095260620117188,2,True,-2.7176666259765625,4,True,-2.7176666259765625,4,True,-2.7176666259765625,4,True,True,True
11,11,Pd,OH,-2.401712417602539,-2.4184722900390625,-2.401712417602539,-2.4184722900390625,-2.401712417602539,1.0,1.0,-2.401712417602539,-2.4184722900390625,-2.401712417602539,-2.4184722900390625,-2.401712417602539,2.25,1.0,-2.439783096313477,20.0,1.0,-2.6359806060791016,46,1.0,-2.577228546142578,19.0,1.0,-2.4184722900390625,1,True,-2.4184722900390625,1,True,-2.381309509277344,1,True,-2.3885955810546875,1,True,True,True,-2.381309509277344,1,True,-2.4184722900390625,3,True,-2.3885955810546875,2,True,-2.4184722900390625,3,True,True,True
12,12,Au,OH,-1.9626359939575195,-2.0813217163085938,-1.9626359939575195,-2.0813217163085938,-1.9626359939575195,1.0,1.0,-2.283853530883789,-2.3513641357421875,-2.283853530883789,-2.3513641357421875,-2.283853530883789,2.5,1.0,-2.3599796295166016,20.0,1.0,-2.360696792602539,47,1.0,-2.245380401611328,23.0,1.0,-2.0813217163085938,1,True,-2.0813217163085938,1,True,-1.6070194244384766,1,True,-2.080881118774414,1,True,True,True,-2.0813217163085938,1,True,-2.3513641357421875,3,True,-2.3513641357421875,3,True,-2.3513641357421875,3,True,True,True
13,13,Ag,OH,-2.59647274017334,-2.8251419067382812,-2.59647274017334,-2.8251419067382812,-2.59647274017334,1.0,1.0,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,-2.8251419067382812,3.5,1.0,-2.8251514434814453,20.0,1.0,-2.827669143676758,37,1.0,-2.856945037841797,25.0,1.0,-2.8078689575195312,1,True,-2.8251419067382812,1,True,-2.376436233520508,1,True,-2.376443862915039,1,True,True,True,-2.8251419067382812,3,True,-2.8251419067382812,4,True,-2.8251419067382812,3,True,-2.8251419067382812,4,True,True,True
14,14,CoPt,OH,-3.436568260192871,-3.616632461547851,-3.436568260192871,-3.616632461547851,-3.436568260192871,1.0,1.0,-3.6010122299194336,-3.616632461547851,-3.6010122299194336,-3.616632461547851,-3.6010122299194336,5.0,1.0,-3.622766494750977,20.0,1.0,-3.6134281158447266,79,1.0,-4.125019073486328,8.0,1.0,-3.4312286376953125,1,True,-3.453330993652344,1,True,-3.616632461547851,1,True,-3.245080947875977,1,True,True,True,-3.5911407470703125,5,True,-3.5796432495117188,5,True,-3.616632461547851,5,True,-3.616632461547851,5,True,True,True
15,15,Cu6Ga2,CH2CH2OH,-2.8017663955688477,-2.9636917114257812,-2.8017663955688477,-2.9636917114257812,-2.8017663955688477,1.0,1.0,-3.257701873779297,-3.257709503173828,-3.257701873779297,-3.257709503173828,-3.257701873779297,4.5,1.0,-3.001087188720703,20.0,1.0,-3.225940704345703,34,1.0,,,0.0,-2.9636917114257812,1,True,-2.767475128173828,1,True,-2.888652801513672,1,True,-2.58724594116211,1,True,True,True,-3.257709503173828,4,True,-3.257678985595703,4,True,-3.257709503173828,5,True,-3.257709503173828,5,True,True,True
16,16,Au2Hf,CH2CH2OH,-4.603815078735352,-4.662910461425781,-4.603815078735352,-4.662910461425781,-4.603815078735352,1.0,1.0,-4.5651960372924805,-4.662910461425781,-4.5651960372924805,-4.662910461425781,-4.5651960372924805,5.0,1.0,-6.736865997314453,20.0,1.0,-5.376361846923828,56,1.0,-5.699554443359375,20.0,1.0,-4.662910461425781,1,True,-4.662910461425781,1,True,-4.537578582763672,1,True,-4.551860809326172,1,True,True,True,-4.272052764892578,5,True,-4.662910461425781,5,True,-4.662910461425781,5,True,-4.662910461425781,5,True,True,True
17,17,Rh2Ti2,OCHCH3,-2.8061466217041016,-3.0664215087890625,-2.8061466217041016,-3.0664215087890625,-2.8061466217041016,1.0,1.0,-3.1424474716186523,-3.241016387939453,-3.1424474716186523,-3.241016387939453,-3.1424474716186523,4.5,1.0,-3.171344757080078,20.0,1.0,-3.2653350830078125,38,1.0,-4.476116180419922,31.0,1.0,-2.692474365234375,1,True,-2.692474365234375,1,True,-2.7732162475585938,1,True,-3.0664215087890625,1,True,True,True,-3.241016387939453,5,True,-3.240985870361328,5,True,-3.222217559814453,5,True,-2.865570068359375,3,True,True,True
18,18,Al3Zr,OCHCH3,-2.4684829711914062,-2.5189666748046875,-2.4684829711914062,-2.5189666748046875,-2.4684829711914062,1.0,1.0,-2.8389892578125,-3.1291351318359375,-2.8389892578125,-3.1291351318359375,-2.8389892578125,4.25,1.0,-3.21304702758789,20.0,1.0,-3.24102783203125,53,1.0,,,0.0,-2.5189666748046875,1,True,-2.5189666748046875,1,True,-2.4180145263671875,1,True,-2.4179840087890625,1,True,True,True,-2.7240142822265625,3,True,-2.7240142822265625,4,True,-2.7787933349609375,5,True,-3.1291351318359375,5,True,True,True
19,19,Hf2Zn6,OCHCH3,-3.687929153442383,-4.0125274658203125,-3.687929153442383,-4.0125274658203125,-3.687929153442383,1.0,1.0,-3.977785110473633,-4.044700622558594,-3.977785110473633,-4.044700622558594,-3.977785110473633,4.25,1.0,-3.5673561096191406,20.0,1.0,-4.696258544921875,42,1.0,-4.707073211669922,18.0,1.0,-4.0125274658203125,1,True,-4.0125274658203125,1,True,-3.1327438354492188,1,True,-3.5939178466796875,1,True,True,True,-4.0125274658203125,5,True,-4.0125274658203125,4,True,-3.841384887695313,5,True,-4.044700622558594,3,True,True,True
20,20,Bi2Ti6,ONN(CH3)2,-11.127878189086914,-11.652278900146484,-11.127878189086914,-11.652278900146484,-11.127878189086914,1.0,1.0,-11.652477264404297,-11.652706146240234,-11.652477264404297,-11.652706146240234,-11.652477264404297,5.0,1.0,-13.422286987304688,20.0,1.0,-11.756484985351562,98,1.0,-12.284919738769531,16.0,1.0,-11.652278900146484,1,True,-11.652278900146484,1,True,-10.604454040527344,1,True,-10.602500915527344,1,True,True,True,-11.652278900146484,5,True,-11.652706146240234,5,True,-11.652278900146484,5,True,-11.652645111083984,5,True,True,True
