method,dataset,n_cases,mean_relax,mean_energy_eV,median_energy_eV,std_energy_eV,success_rate,mean_energy_eV_among_success
AdsMind_1shot,cmu20,20,1.0,-3.8167618764074227,-2.928200364112854,2.279720294643287,0.9125,-3.8167618764074227
AdsMind_full,cmu20,20,4.1875,-3.900399959087372,-3.2000746726989746,2.2953078625979146,1.0,-3.900399959087372
Random_n20,cmu20,20,20.0,-4.197416067123413,-3.2532968521118164,2.6579272920214048,1.0,-4.197416067123413
Heuristic,cmu20,20,56.85,-4.217125272750854,-3.3074439764022827,2.4853366942520756,1.0,-4.217125272750854
AdsorbAgent,cmu20,20,21.0,-4.482130616903305,-4.0021175146102905,2.6247994370181456,0.8,-4.482130616903305
AdsMind_1shot,ocd62,62,1.0,-5.767789848645529,-4.593955397605896,3.558136454524135,0.8951612903225806,-5.767789848645529
AdsMind_full,ocd62,62,4.665322580645161,-6.072183316753756,-5.001951217651367,3.6631176322331003,0.9879032258064516,-6.072183316753756
Random_n20,ocd62,62,20.0,-6.241079157398593,-5.325399875640869,3.675400639517212,1.0,-6.241079157398593
Heuristic,ocd62,62,66.03225806451613,-6.7549389370026125,-5.655524253845215,3.958725323772192,1.0,-6.7549389370026125
